STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS
Tamil Nadu,KRISHNAGIRI,K.P.MUNUSAMY,0,AIADMK,Two Leaves,MALE,0.0,67.0,GENERAL,Graduate Professional,,,453388,1145,454533,29.70019681,39.10724933,1530404
Tamil Nadu,KRISHNAGIRI,MADHUSOODHANAN.N,0,NTK,Ganna Kisan,MALE,0.0,37.0,GENERAL,Post Graduate,,,27757,243,28000,1.829582254,2.409072567,1530404
Tamil Nadu,KRISHNAGIRI,SRI KARUNYA SUBRAHMANYAM,0,MNM,Battery Torch,MALE,0.0,50.0,GENERAL,Graduate,,,16895,100,16995,1.110491086,1.46222101,1530404
West Bengal,KRISHNANAGAR,MAHUA MOITRA,1,AITC,Flowers and Grass,FEMALE,0.0,44.0,GENERAL,Graduate,,,613652,1220,614872,37.68295359,44.992796,1631698
West Bengal,KRISHNANAGAR,KALYAN CHAUBEY,0,BJP,Lotus,MALE,0.0,40.0,GENERAL,10th Pass,,,548248,3406,551654,33.80858468,40.36686641,1631698
West Bengal,KRISHNANAGAR,JHA SHANTANU,0,CPI(M),"Hammer, Sickle and Star",MALE,1.0,57.0,GENERAL,Doctorate,,,120016,206,120222,7.367907542,8.7971544,1631698
West Bengal,KRISHNANAGAR,INTAJ ALI SHAH,0,INC,Hand,MALE,0.0,70.0,GENERAL,Post Graduate,,,38116,189,38305,2.347554511,2.802939556,1631698
Andhra Pradesh,KURNOOL,AYUSHMAN DOCTOR SANJEEV KUMAR,1,YSRCP,Ceiling Fan,MALE,0.0,52.0,GENERAL,Post Graduate,,,603098,2364,605462,38.49068886,50.85044412,1573009
Andhra Pradesh,KURNOOL,KOTLA JAYA SURYA PRAKASH REDDY,0,TDP,Bicycle,MALE,0.0,67.0,GENERAL,Graduate,,,453071,3324,456395,29.01413787,38.33087534,1573009
Andhra Pradesh,KURNOOL,AHMED ALI KHAN,0,INC,Hand,MALE,0.0,42.0,GENERAL,12th Pass,,,36411,89,36500,2.32039359,3.065495787,1573009
Andhra Pradesh,KURNOOL,Dr. PARTHASARATHI VALMIKI,0,BJP,Lotus,MALE,0.0,48.0,GENERAL,Post Graduate,,,24177,241,24418,1.552311525,2.050774689,1573009
Andhra Pradesh,KURNOOL,K. PRABHAKARA REDDY,0,CPI(M),"Hammer, Sickle and Star",MALE,1.0,58.0,GENERAL,Graduate Professional,,,18964,101,19065,1.212008323,1.601196635,1573009
Haryana,KURUKSHETRA,NAYAB SINGH,1,BJP,Lotus,MALE,0.0,49.0,GENERAL,Graduate Professional,,,686588,2041,688629,41.55038058,55.93312026,1657335
Haryana,KURUKSHETRA,NIRMAL SINGH,0,INC,Hand,MALE,1.0,66.0,GENERAL,Graduate,,,303722,316,304038,18.34499362,24.69514647,1657335
Haryana,KURUKSHETRA,SHASHI,0,BSP,Elephant,FEMALE,0.0,59.0,GENERAL,Graduate Professional,,,75533,92,75625,4.563048509,6.142556034,1657335
Haryana,KURUKSHETRA,JAI BHAGWAN SHARMA (DD),0,JNJP,Chappals,MALE,0.0,57.0,GENERAL,Graduate,,,68437,76,68513,4.133925851,5.564891789,1657335
Haryana,KURUKSHETRA,ARJUN SINGH CHAUTALA,0,INLD,Spectacles,MALE,0.0,26.0,GENERAL,12th Pass,,,60574,105,60679,3.661239279,4.928583902,1657335
Uttar Pradesh,KUSHI NAGAR,VIJAY KUMAR DUBEY,1,BJP,Lotus,MALE,2.0,50.0,GENERAL,12th Pass,,,595508,1531,597039,33.8925523,56.68222715,1761564
Uttar Pradesh,KUSHI NAGAR,N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA,0,SP,Bicycle,MALE,0.0,65.0,GENERAL,Post Graduate,,,257776,1703,259479,14.73003535,24.63465137,1761564
Uttar Pradesh,KUSHI NAGAR,KUNWER RATANJIT PRATAP NARAYAN SINGH,0,INC,Hand,MALE,0.0,55.0,GENERAL,Graduate,,,145495,656,146151,8.296661376,13.87541548,1761564
Jammu & Kashmir,LADAKH,Jamyang Tsering Namgyal,1,BJP,Lotus,MALE,1.0,33.0,ST,Graduate,,,41315,1599,42914,23.94326906,33.69768355,179232
Jammu & Kashmir,LADAKH,Sajjad Hussain,0,IND,Battery torch,MALE,0.0,37.0,ST,Post Graduate,,,31552,432,31984,17.84502767,25.1150373,179232
Jammu & Kashmir,LADAKH,Asgar Ali Karbalai,0,IND,Cup & Saucer,MALE,0.0,54.0,ST,10th Pass,,,29069,296,29365,16.38379307,23.0585002,179232
Jammu & Kashmir,LADAKH,Rigzin Spalbar,0,INC,Hand,MALE,0.0,61.0,ST,Graduate,,,20447,794,21241,11.85112034,16.67923047,179232
Assam,LAKHIMPUR,PRADAN BARUAH,1,BJP,Lotus,MALE,0.0,53.0,ST,12th Pass,,,774017,2389,776406,45.45667978,60.47011176,1708013
Assam,LAKHIMPUR,ANIL BORGOHAIN,0,INC,Hand,MALE,0.0,51.0,GENERAL,10th Pass,,,425002,853,425855,24.93277276,33.16756883,1708013
Assam,LAKHIMPUR,ARUP KALITA,0,CPI(M),Ears of Corn And Sickle,MALE,0.0,51.0,GENERAL,Graduate Professional,,,13357,21,13378,0.783249308,1.041940886,1708013
Lakshadweep,LAKSHADWEEP,MOHAMMED FAIZAL PP,1,NCP,Clock,MALE,2.0,43.0,ST,Post Graduate,,,22796,55,22851,41.40499012,48.59226811,55189
Lakshadweep,LAKSHADWEEP,HAMDULLAH SAYEED,0,INC,Hand,MALE,0.0,36.0,ST,Graduate Professional,,,21980,48,22028,39.91375093,46.84217242,55189
Lakshadweep,LAKSHADWEEP,DR. MOHAMMED SADIQUE KP,0,JD(U),Arrow,MALE,0.0,64.0,ST,Post Graduate,,,1339,3,1342,2.431643987,2.853740484,55189
Uttar Pradesh,LALGANJ,Sangeeta Azad,1,BSP,Elephant,FEMALE,0.0,44.0,SC,Graduate Professional,,,517545,1275,518820,29.61335175,53.98391782,1751980
Uttar Pradesh,LALGANJ,Neelam Sonker,0,BJP,Lotus,FEMALE,1.0,43.0,SC,Post Graduate,,,356328,895,357223,20.3896734,37.16953293,1751980
Uttar Pradesh,LALGANJ,Dr. Deelip Kumar Saroj,0,SBSP,Walking Stick,MALE,0.0,45.0,SC,Doctorate,,,17924,3,17927,1.023242274,1.865328428,1751980
Uttar Pradesh,LALGANJ,Pankaj Mohan Sonkar,0,INC,Hand,MALE,3.0,29.0,SC,Graduate,,,17603,27,17630,1.006290026,1.834425179,1751980
Maharashtra,LATUR,Sudhakar Tukaram Shrangare,1,BJP,Lotus,MALE,0.0,57.0,SC,10th Pass,,,657590,3905,661495,35.06175208,56.14983248,1886657
Maharashtra,LATUR,Kamant Machhindra Gunwantrao,0,INC,Hand,MALE,0.0,59.0,SC,Post Graduate,,,370835,1549,372384,19.73776897,31.60915686,1886657
Maharashtra,LATUR,Ram Garkar,0,VBA,Whistle,MALE,0.0,59.0,SC,Post Graduate,,,111780,475,112255,5.949942146,9.528567027,1886657
